UserID,SystemID,SegmentID,Type,Score,StartTime,EndTime
zhoeng2a05,Online-A-1710,311,CHK,17,1520783236.786,1520783242.824
zhoeng2a05,Online-B-1710,995,TGT,49,1520783225.496,1520783236.055
zhoeng2a05,Online-A-1710,1648,TGT,50,1520783217.342,1520783224.743
zhoeng2a05,Sogou,1648,TGT,50,1520783217.342,1520783224.743
zhoeng2a05,Combo-4,995,TGT,83,1520783209.533,1520783216.624
zhoeng2a05,Reference-PE,995,TGT,49,1520783203.762,1520783208.795
zhoeng2a05,Online-B-1710,1648,TGT,15,1520783198.068,1520783203.019
zhoeng2a05,Reference-PE,1648,TGT,92,1520783183.805,1520783197.34
zhoeng2a05,Combo-5,995,TGT,52,1520783167.264,1520783175.044
zhoeng2a05,Reference-WMT,995,TGT,84,1520783151.881,1520783160.253
zhoeng2a05,Reference-HT,1965,TGT,59,1520783147.0,1520783151.196
zhoeng2a05,Reference-HT,995,TGT,78,1520783130.959,1520783137.771
zhoeng2a05,Online-A-1710,995,TGT,43,1520783123.49,1520783130.243
zhoeng2a05,Sogou,995,TGT,26,1520783104.387,1520783113.381
zhoeng2a05,Combo-6,995,TGT,75,1520783091.199,1520783103.668
zhoeng2a05,Sogou,1965,TGT,81,1520783083.471,1520783090.532
zhoeng2a05,Online-A-1710,1335,CHK,54,1520783067.953,1520783082.771
zhoeng2a05,Reference-WMT,1965,TGT,83,1520783063.965,1520783067.292
zhoeng2a05,Online-B-1710,1965,TGT,60,1520783059.476,1520783063.325
zhoeng2a05,Reference-PE,1335,CHK,60,1520783047.753,1520783058.781
zhoeng2a05,Online-A-1710,1965,TGT,65,1520783042.208,1520783047.085
zhoeng2a05,Reference-PE,1965,TGT,75,1520783030.019,1520783041.501
zhoeng2a05,Combo-4,1965,TGT,88,1520783017.505,1520783021.868
zhoeng2a05,Combo-5,1965,TGT,78,1520783009.854,1520783016.853
zhoeng2a05,Combo-6,1965,TGT,85,1520783005.708,1520783009.204
zhoeng2a05,Online-B-1710,1127,TGT,76,1520782990.638,1520782996.861
zhoeng2a05,Sogou,1127,TGT,81,1520782976.801,1520782983.741
zhoeng2a05,Reference-WMT,1127,TGT,76,1520782966.498,1520782976.157
zhoeng2a05,Combo-5,1317,CHK,75,1520782960.662,1520782965.861
zhoeng2a05,Combo-6,1317,CHK,75,1520782960.662,1520782965.861
zhoeng2a05,Online-A-1710,1127,TGT,76,1520782951.071,1520782960.052
zhoeng2a05,Reference-PE,1127,TGT,82,1520782941.678,1520782950.315
zhoeng2a05,Reference-HT,1127,TGT,77,1520782927.382,1520782941.044
zhoeng2a05,Combo-4,1127,TGT,85,1520782911.108,1520782920.659
zhoeng2a05,Combo-5,1127,TGT,85,1520782911.108,1520782920.659
zhoeng2a05,Combo-6,1127,TGT,85,1520782911.108,1520782920.659
zhoeng2a05,Reference-HT,1467,TGT,72,1520782905.261,1520782910.499
zhoeng2a05,Reference-HT,132,CHK,83,1520782900.864,1520782904.677
zhoeng2a05,Online-A-1710,1467,TGT,24,1520782894.588,1520782900.235
zhoeng2a05,Online-A-1710,1317,TGT,67,1520782400.346,1520782413.925
zhoeng2a05,Reference-HT,1127,CHK,80,1520782365.802,1520782399.901
zhoeng2a05,Combo-6,132,TGT,57,1520782359.201,1520782365.358
zhoeng2a05,Online-B-1710,181,TGT,80,1520782353.673,1520782358.799
zhoeng2a05,Reference-PE,181,TGT,80,1520782353.673,1520782358.799
zhoeng2a05,Combo-5,132,TGT,69,1520782347.365,1520782353.222
zhoeng2a05,Online-A-1710,132,TGT,65,1520782339.516,1520782346.958
zhoeng2a05,Online-B-1710,132,TGT,85,1520782332.76,1520782339.11
zhoeng2a05,Reference-HT,132,TGT,84,1520782324.957,1520782332.366
zhoeng2a05,Reference-PE,132,TGT,82,1520782306.675,1520782317.295
zhoeng2a05,Reference-HT,1467,CHK,73,1520782264.123,1520782306.247
zhoeng2a04,Online-A-1710,311,CHK,20,1520612472.858,1520612477.689
zhoeng2a04,Online-B-1710,995,TGT,15,1520612461.352,1520612471.823
zhoeng2a04,Online-A-1710,1648,TGT,95,1520612445.68,1520612460.175
zhoeng2a04,Sogou,1648,TGT,95,1520612445.68,1520612460.175
zhoeng2a04,Combo-4,995,TGT,14,1520612370.136,1520612444.187
zhoeng2a04,Reference-PE,995,TGT,8,1520612364.902,1520612369.155
zhoeng2a04,Online-B-1710,1648,TGT,91,1520612360.955,1520612363.89
zhoeng2a04,Reference-PE,1648,TGT,94,1520612355.396,1520612359.987
zhoeng2a04,Combo-5,995,TGT,9,1520612338.568,1520612342.35
zhoeng2a04,Reference-WMT,995,TGT,14,1520612317.965,1520612330.508
zhoeng2a04,Reference-HT,1965,TGT,69,1520612283.952,1520612316.841
zhoeng2a04,Reference-HT,995,TGT,82,1520612225.309,1520612238.462
