UserID,SystemID,SegmentID,Type,Score,StartTime,EndTime
zhoeng2c05,Sogou,1479,TGT,76,1520870518.583,1520870533.195
zhoeng2c05,Combo-4,1900,TGT,74,1520870507.303,1520870517.695
zhoeng2c05,Combo-4,1479,TGT,74,1520870493.981,1520870506.424
zhoeng2c05,Combo-5,1479,TGT,74,1520870493.981,1520870506.424
zhoeng2c05,Combo-6,1479,TGT,74,1520870493.981,1520870506.424
zhoeng2c05,Online-A-1710,1479,TGT,72,1520870466.404,1520870493.133
zhoeng2c05,Online-A-1710,695,CHK,58,1520870450.341,1520870465.527
zhoeng2c05,Online-B-1710,1479,TGT,49,1520870433.105,1520870449.436
zhoeng2c05,Reference-PE,1479,TGT,61,1520870407.62,1520870432.056
zhoeng2c05,Reference-WMT,450,TGT,45,1520870401.647,1520870406.805
zhoeng2c05,Reference-WMT,1479,TGT,52,1520870388.441,1520870400.8
zhoeng2c05,Online-A-1710,450,TGT,59,1520870366.708,1520870373.066
zhoeng2c05,Reference-HT,450,TGT,79,1520870280.822,1520870285.922
zhoeng2c05,Reference-WMT,842,CHK,86,1520870272.931,1520870280.015
zhoeng2c05,Reference-PE,450,TGT,61,1520870228.594,1520870234.289
zhoeng2c05,Online-B-1710,450,TGT,56,1520870221.001,1520870227.792
zhoeng2c05,Sogou,450,TGT,81,1520870214.434,1520870220.069
zhoeng2c05,Combo-4,450,TGT,54,1520870208.651,1520870213.644
zhoeng2c05,Combo-5,450,TGT,76,1520870185.518,1520870207.841
zhoeng2c05,Combo-6,450,TGT,76,1520870185.518,1520870207.841
zhoeng2c05,Combo-4,913,TGT,79,1520870177.338,1520870184.72
zhoeng2c05,Online-B-1710,913,TGT,31,1520870106.201,1520870165.485
zhoeng2c05,Combo-6,913,TGT,58,1520870093.722,1520870099.446
zhoeng2c05,Reference-PE,913,TGT,70,1520869940.172,1520870091.428
zhoeng2c05,Sogou,913,TGT,46,1520869931.05,1520869939.341
zhoeng2c05,Reference-WMT,913,TGT,72,1520869918.475,1520869930.288
zhoeng2c05,Reference-HT,913,TGT,74,1520869880.842,1520869917.654
zhoeng2c05,Online-A-1710,913,TGT,64,1520869833.45,1520869880.066
zhoeng2c05,Reference-PE,842,CHK,66,1520869825.301,1520869832.691
zhoeng2c05,Reference-PE,1541,TGT,82,1520869806.483,1520869824.541
zhoeng2c05,Online-B-1710,1541,TGT,73,1520869794.527,1520869805.733
zhoeng2c05,Online-A-1710,842,TGT,64,1520868324.928,1520868438.817
zhoeng2c05,Online-B-1710,110,TGT,76,1520868308.136,1520868322.796
zhoeng2c05,Reference-PE,842,TGT,70,1520868300.582,1520868307.302
zhoeng2c05,Reference-HT,110,TGT,81,1520868294.537,1520868299.803
zhoeng2c05,Combo-4,110,TGT,75,1520868286.648,1520868293.726
zhoeng2c05,Combo-5,110,TGT,75,1520868286.648,1520868293.726
zhoeng2c05,Combo-6,110,TGT,75,1520868286.648,1520868293.726
zhoeng2c05,Reference-PE,110,TGT,84,1520868278.925,1520868285.941
zhoeng2c05,Online-B-1710,842,TGT,50,1520868268.069,1520868278.295
zhoeng2c05,Sogou,913,CHK,52,1520868250.819,1520868257.726
zhoeng2c05,Sogou,842,TGT,79,1520868201.107,1520868230.144
zhoeng2c05,Reference-WMT,1900,TGT,12,1520868196.813,1520868200.521
zhoeng2c05,Reference-PE,1900,TGT,83,1520867973.364,1520868196.215
zhoeng2c05,Combo-5,913,CHK,37,1520867953.625,1520867972.245
zhoeng2c05,Online-A-1710,110,TGT,67,1520867936.587,1520867943.615
zhoeng2c05,Sogou,110,TGT,82,1520867927.13,1520867936.058
zhoeng2c05,Sogou,1900,TGT,73,1520867916.14,1520867926.472
zhoeng2c05,Reference-WMT,110,TGT,71,1520867895.412,1520867915.557
zhoeng2c05,Online-B-1710,1900,TGT,68,1520867781.622,1520867891.61
zhoeng2c05,Combo-6,1900,TGT,68,1520867742.828,1520867749.386
zhoeng2c05,Reference-HT,1900,TGT,81,1520867728.915,1520867742.305
zhoeng2c05,Online-A-1710,1900,TGT,63,1520867724.343,1520867728.382
